strain tap_number reversal N conf_int_lower conf_int_upper
1 mutant-1 1 222 273 0.761802275468417 0.8576273092518
2 mutant-1 2 203 296 0.629571097613848 0.738284220724301
3 mutant-1 3 206 329 0.571391013765749 0.678595234033779
4 mutant-1 4 210 365 0.522824156628735 0.626628646357232
5 mutant-1 5 184 380 0.432941310379929 0.535727550610208
6 mutant-1 6 180 384 0.417945290260471 0.520040014682498
7 mutant-1 7 160 389 0.36196528618227 0.462016835361761
8 mutant-1 8 179 407 0.390943836320588 0.489544570179132
9 mutant-1 9 148 405 0.318432648031288 0.414413961741167
10 mutant-1 10 133 402 0.285000894247684 0.379203334868028
11 mutant-1 11 120 414 0.246582429977494 0.336161350696389
12 mutant-1 12 126 417 0.258426256568641 0.348724339396744
13 mutant-1 13 118 418 0.239623973124485 0.328082437003494
14 mutant-1 14 107 415 0.216396709153149 0.302757741721461
15 mutant-1 15 104 409 0.212764797472076 0.299388983795586
16 mutant-1 16 100 414 0.201082879043895 0.285747553283338
17 mutant-1 17 105 434 0.202369909541756 0.285059553498136
18 mutant-1 18 91 419 0.178626742261745 0.259787829200155
19 mutant-1 19 98 431 0.188635946653567 0.269909109128542
20 mutant-1 20 80 429 0.150728256802729 0.226621771041187
21 mutant-1 21 107 439 0.204278356320147 0.286685716511281
22 mutant-1 22 64 421 0.119083432494065 0.189937158104955
23 mutant-1 23 94 420 0.184824672234543 0.266735477279737
24 mutant-1 24 66 419 0.123967483542678 0.195993002159316
25 mutant-1 25 77 421 0.147122227458856 0.223200362514428
26 mutant-1 26 68 413 0.130183217397889 0.204004407000157
27 mutant-1 27 72 426 0.13465662508608 0.208045996260895
28 mutant-1 28 87 428 0.166140860550818 0.244560444140708
29 mutant-1 29 84 432 0.158167745607405 0.234966515487315
30 mutant-1 30 69 393 0.139250877703851 0.216864392997232
31 mutant-3 1 400 440 0.878266109298066 0.934258516824922
32 mutant-3 2 413 449 0.890726144831332 0.943214295974656
33 mutant-3 3 392 454 0.828374879088918 0.893669149366996
34 mutant-3 4 409 467 0.842420815999908 0.904325781153205
35 mutant-3 5 402 479 0.803235009563124 0.871005707511906
36 mutant-3 6 407 493 0.789120141378295 0.858033802845524
37 mutant-3 7 402 492 0.780023434818047 0.850259159365605
38 mutant-3 8 390 496 0.747551289247579 0.821576447126125
39 mutant-3 9 386 497 0.737447927194033 0.812543850076031
40 mutant-3 10 402 503 0.761486993593915 0.833361978321419
41 mutant-3 11 366 504 0.685016429008776 0.764687808729394
42 mutant-3 12 400 507 0.750812809364053 0.823687563455076
43 mutant-3 13 378 496 0.722116383037216 0.798920115908669
44 mutant-3 14 373 519 0.677870976836676 0.756997043426643
45 mutant-3 15 383 529 0.68378838513968 0.761702896730381
46 mutant-3 16 362 512 0.66551571304244 0.746137105941879
47 mutant-3 17 358 513 0.656086472211129 0.737327315114432
48 mutant-3 18 336 522 0.60091386034147 0.684805085075666
49 mutant-3 19 358 525 0.640171447692083 0.721575356615377
50 mutant-3 20 377 539 0.658789841977613 0.737893806892715
51 mutant-3 21 316 522 0.561976591441611 0.647551340830899
52 mutant-3 22 346 519 0.624284801451956 0.707137178095445
53 mutant-3 23 341 523 0.609458158959909 0.692827916015547
54 mutant-3 24 323 502 0.599781230983598 0.685370951631378
55 mutant-3 25 292 497 0.542825256097092 0.631177659791096
56 mutant-3 26 307 486 0.587077046078388 0.674684517668271
57 mutant-3 27 298 480 0.575750323699039 0.664417900946024
58 mutant-3 28 292 483 0.55938329524129 0.648438306489046
59 mutant-3 29 276 487 0.521405227335016 0.611249965515241
60 mutant-3 30 278 477 0.53711065314085 0.627474848402997
61 wild-type 1 250 274 0.872475417023018 0.943071721987229
62 wild-type 2 241 290 0.782847208681612 0.872307110088019
63 wild-type 3 233 315 0.687522211312034 0.787271782866684
64 wild-type 4 271 339 0.75276717635262 0.840733362601768
65 wild-type 5 256 347 0.688124169024124 0.783270418096786
66 wild-type 6 247 358 0.639207433859981 0.737505702179903
67 wild-type 7 271 361 0.702731781829192 0.794487724259886
68 wild-type 8 264 372 0.660663496604244 0.755317791137626
69 wild-type 9 269 389 0.643001135907924 0.737089198314217
70 wild-type 10 274 417 0.609323693045985 0.702577394702557
71 wild-type 11 259 416 0.574073661659679 0.669361323734737
72 wild-type 12 268 428 0.578417579583336 0.672161568731572
73 wild-type 13 258 418 0.568734905148573 0.664042812521393
74 wild-type 14 233 434 0.488686647500956 0.584540247872667
75 wild-type 15 235 421 0.509301832615046 0.606264195648089
76 wild-type 16 230 424 0.493697725598351 0.590611541384054
77 wild-type 17 223 430 0.470227225008012 0.566724425816222
78 wild-type 18 197 401 0.441315634530862 0.541357729796609
79 wild-type 19 207 386 0.485110483025619 0.586868063813738
80 wild-type 20 203 397 0.460977949798693 0.561521888787425
81 wild-type 21 187 404 0.413439998011897 0.512850302973569
82 wild-type 22 171 406 0.372651473652644 0.470870348148868
83 wild-type 23 189 407 0.415105472943266 0.514163097526114
84 wild-type 24 181 393 0.410467467197343 0.51125044667551
85 wild-type 25 173 399 0.384356170129831 0.483804149582546
86 wild-type 26 185 407 0.405426629353957 0.504329856268626
87 wild-type 27 167 398 0.370615373473592 0.46978520519053
88 wild-type 28 165 399 0.364758465943655 0.463601455688175
89 wild-type 29 180 414 0.386438698565656 0.484065264987836
90 wild-type 30 166 379 0.387381617149979 0.489583802594477
91 mutant-2 1 394 416 0.921024186039313 0.966564394523861
92 mutant-2 2 391 411 0.925844026725254 0.970026234466704
93 mutant-2 3 427 499 0.821774570387353 0.885359927676965
94 mutant-2 4 459 506 0.878398035579253 0.930952371980284
95 mutant-2 5 447 511 0.842894927266886 0.902195145087124
96 mutant-2 6 420 510 0.787615666149318 0.855640032345463
97 mutant-2 7 440 521 0.810513073399342 0.874575820407612
98 mutant-2 8 433 542 0.762634869180914 0.831853803080995
99 mutant-2 9 470 564 0.799961880471178 0.863164136877512
100 mutant-2 10 486 594 0.784766031310282 0.848394834615055
101 mutant-2 11 475 602 0.75423404849779 0.820974090659948
102 mutant-2 12 467 592 0.753727976659315 0.821062620566952
103 mutant-2 13 441 605 0.691617296225114 0.763982084662901
104 mutant-2 14 411 582 0.667338363920476 0.742924953718686
105 mutant-2 15 386 563 0.6454738853209 0.723790456255151
106 mutant-2 16 445 585 0.723987622188453 0.794723603344773
107 mutant-2 17 419 595 0.665739196878735 0.740622894228634
108 mutant-2 18 428 595 0.681354956393737 0.755107041662585
109 mutant-2 19 413 573 0.682087681511042 0.757154297478025
110 mutant-2 20 378 562 0.632079916275752 0.711289376297368
111 mutant-2 21 383 554 0.651020175289578 0.72959605767224
112 mutant-2 22 390 555 0.662767369141261 0.740463982167417
113 mutant-2 23 374 532 0.66218734529688 0.74155503560983
114 mutant-2 24 373 536 0.655014229134907 0.734600784715956
115 mutant-2 25 386 537 0.678718060163194 0.756470679775589
116 mutant-2 26 392 545 0.679502079235722 0.756633421326611
117 mutant-2 27 395 553 0.674652968045399 0.751610957774484
118 mutant-2 28 378 550 0.646688157597714 0.725831099484894
119 mutant-2 29 345 539 0.597945067113911 0.680658077801783
120 mutant-2 30 338 500 0.633027921398183 0.716875583282371
