strain tap_number reversal N conf_int_lower conf_int_upper
31 mutant 1 400 440 0.878266109298066 0.934258516824922
32 mutant 2 413 449 0.890726144831332 0.943214295974656
33 mutant 3 392 454 0.828374879088918 0.893669149366996
34 mutant 4 409 467 0.842420815999908 0.904325781153205
35 mutant 5 402 479 0.803235009563124 0.871005707511906
36 mutant 6 407 493 0.789120141378295 0.858033802845524
37 mutant 7 402 492 0.780023434818047 0.850259159365605
38 mutant 8 390 496 0.747551289247579 0.821576447126125
39 mutant 9 386 497 0.737447927194033 0.812543850076031
40 mutant 10 402 503 0.761486993593915 0.833361978321419
41 mutant 11 366 504 0.685016429008776 0.764687808729394
42 mutant 12 400 507 0.750812809364053 0.823687563455076
43 mutant 13 378 496 0.722116383037216 0.798920115908669
44 mutant 14 373 519 0.677870976836676 0.756997043426643
45 mutant 15 383 529 0.68378838513968 0.761702896730381
46 mutant 16 362 512 0.66551571304244 0.746137105941879
47 mutant 17 358 513 0.656086472211129 0.737327315114432
48 mutant 18 336 522 0.60091386034147 0.684805085075666
49 mutant 19 358 525 0.640171447692083 0.721575356615377
50 mutant 20 377 539 0.658789841977613 0.737893806892715
51 mutant 21 316 522 0.561976591441611 0.647551340830899
52 mutant 22 346 519 0.624284801451956 0.707137178095445
53 mutant 23 341 523 0.609458158959909 0.692827916015547
54 mutant 24 323 502 0.599781230983598 0.685370951631378
55 mutant 25 292 497 0.542825256097092 0.631177659791096
56 mutant 26 307 486 0.587077046078388 0.674684517668271
57 mutant 27 298 480 0.575750323699039 0.664417900946024
58 mutant 28 292 483 0.55938329524129 0.648438306489046
59 mutant 29 276 487 0.521405227335016 0.611249965515241
60 mutant 30 278 477 0.53711065314085 0.627474848402997
61 N2 1 250 274 0.872475417023018 0.943071721987229
62 N2 2 241 290 0.782847208681612 0.872307110088019
63 N2 3 233 315 0.687522211312034 0.787271782866684
64 N2 4 271 339 0.75276717635262 0.840733362601768
65 N2 5 256 347 0.688124169024124 0.783270418096786
66 N2 6 247 358 0.639207433859981 0.737505702179903
67 N2 7 271 361 0.702731781829192 0.794487724259886
68 N2 8 264 372 0.660663496604244 0.755317791137626
69 N2 9 269 389 0.643001135907924 0.737089198314217
70 N2 10 274 417 0.609323693045985 0.702577394702557
71 N2 11 259 416 0.574073661659679 0.669361323734737
72 N2 12 268 428 0.578417579583336 0.672161568731572
73 N2 13 258 418 0.568734905148573 0.664042812521393
74 N2 14 233 434 0.488686647500956 0.584540247872667
75 N2 15 235 421 0.509301832615046 0.606264195648089
76 N2 16 230 424 0.493697725598351 0.590611541384054
77 N2 17 223 430 0.470227225008012 0.566724425816222
78 N2 18 197 401 0.441315634530862 0.541357729796609
79 N2 19 207 386 0.485110483025619 0.586868063813738
80 N2 20 203 397 0.460977949798693 0.561521888787425
81 N2 21 187 404 0.413439998011897 0.512850302973569
82 N2 22 171 406 0.372651473652644 0.470870348148868
83 N2 23 189 407 0.415105472943266 0.514163097526114
84 N2 24 181 393 0.410467467197343 0.51125044667551
85 N2 25 173 399 0.384356170129831 0.483804149582546
86 N2 26 185 407 0.405426629353957 0.504329856268626
87 N2 27 167 398 0.370615373473592 0.46978520519053
88 N2 28 165 399 0.364758465943655 0.463601455688175
89 N2 29 180 414 0.386438698565656 0.484065264987836
90 N2 30 166 379 0.387381617149979 0.489583802594477
